Name;Northing;Easting;Elevation;Waypoint;soil_moist;Average_so;F5cm;F10cm;F15cm;Soil_class;O_horizon;Kpa5;Kpa10;Kpa15;Prob;Classified
2002a(b);6760101.92334;467309.11709;289.37895;2002a(b);62;51;16;25;35;4;7;445.828805463;558.490610804;595.278139078;84;2
2003a;6760101.56371;467300.77624;293.85668;2003a;65.7;34;19;28;30;3;13;382.297712225;503.309318392;687.246959765;56;2
2004a;6760096.40751;467298.92911;289.19221;2004a;54;39;23;26;29;3;18;323.370321396;538.681941733;709.446330276;36;1
2005a;6760095.82787;467296.87437;286.72516;2005a;39.6;31.5;14;19;26;3;12;503.309318392;721.130209492;786.29030512;45;1
2006a;6760095.55539;467294.40555;288.36652;2006a;28.9;29.5;13;18;24;3;18;538.681941733;758.778264744;848.192395967;60;2
2007a;6760093.34031;467290.43048;288.54054;2007a;21.3;24.5;16;18;24;3;17;445.828805463;758.778264744;848.192395967;22;1
2001f;6760107.06344;467314.40044;286.90263;2001f;57.3;60;16;26;33;3;8;445.828805463;538.681941733;628.721346601;92;2
2001;6760113.16951;467321.00561;284.73002;2001;74.2;35;21;27;32;3;11;350.027950581;520.340581482;647.010600715;51;2
2002;6760112.35952;467325.57184;287.31231;2002;22.5;49;12;18;22;3;11;579.950002297;758.778264744;921.349412422;5;1
2003;6760113.29453;467329.35263;288.02747;2003;23.9;20;12;16;20;3;9;579.950002297;848.192395967;1009.13783217;2;1
2004;6760113.40907;467333.33406;288.72449;2004;25.9;28;11;15;21;3;8;628.721346601;901.840874701;963.153421825;1;1
2005;6760115.30746;467336.92186;289.09292;2005;29.4;25.5;18;20;22;3;10;401.121739851;687.246959765;921.349412422;1;1
2006;6760116.81672;467340.5116;288.66798;2006;31.7;18;8;11;13;3;7;848.192395967;1213.97747824;1529.11539528;2;1
1001a;6760049.85654;467271.01398;287.92813;1001a;78.4;41;27;34;39;3;18;281.90289822;422.160358962;538.681941733;47;1
1002a;6760045.40526;467273.06799;290.76874;1002a;49.9;36.5;35;39;41;3;31;227.402856332;373.609699475;514.525028232;12;1
1003a;6760044.10665;467275.64104;290.75525;1003a;18.6;35.5;25;30;33;3;24;300.977912881;472.65304483;628.721346601;4;1
1004a;6760041.20774;467277.9319;291.71257;1004a;19.4;27.5;9;17;21;3;18;758.778264744;800.855502966;963.153421825;2;1
1005a;6760038.1285;467280.42328;291.80732;1005a;24.4;21.5;13;19;26;3;12;538.681941733;721.130209492;786.29030512;2;1
1006a;6760035.04434;467282.89626;291.67089;1006a;22.1;16.5;15;18;21;3;11;472.65304483;758.778264744;963.153421825;2;1
1007a;6760027.06105;467288.70143;292.1979;1007a;25.9;21.5;12;16;18;3;17;579.950002297;848.192395967;1116.43478964;3;1
1100;6773751.44869;602433.44804;97.92402;1100;39;100;27;48;58;1;100;70.475725;77.926902;94.113943;94;2
1101;6773756.10486;602435.84327;93.72641;1101;72.3;90;23;40;51;3;100;80.84258;91.339022;105.54009;93;2
1102;6773758.72413;602438.34601;93.51803;1102;100;60;42;65;84;3;100;49.186646;60.387976;68.346817;86;2
1103;6773766.1428;602443.4877;99.00389;1105;53.7;65;27;48;63;4;14;70.475725;77.926902;87.506988;31;1
1104;6773765.98082;602448.73364;98.51394;1103;13.3;10;30;60;60;4;10;64.514782;64.514782;91.339022;23;1
1105;6773760.66444;602442.01243;97.54385;1104;7.4;20;18;25;31;4;5;100.280435;139.622653;166.619952;72;2
1106;6773768.33433;602451.39252;95.47728;1106;13.8;5;38;41;41;4;4;53.220366;89.376273;128.631257;7;1
1107;6773746.72375;602428.18913;96.39365;1107;51.5;70;58;84;98;1;100;38.615517;49.186646;60.135315;88;2
1108;6773741.91816;602426.32527;96.28436;1108;74.2;90;28;38;48;2;100;68.346817;95.574428;111.457201;94;2
1109;6773739.49763;602424.36528;96.84924;1109;100;100;25;42;57;2;100;75.244478;87.506988;95.574428;93;2
1110;6773732.71463;602421.39022;99.79076;1110;0;100;25;38;51;2;100;75.244478;95.574428;105.54009;93;2
1111;6773731.86526;602417.06963;101.57941;1111;44.7;100;26;42;55;2;100;72.768395;87.506988;98.654723;94;2
1112;6773729.53553;602415.64868;93.72031;1112;84.4;80;28;40;50;2;100;68.346817;91.339022;107.433565;89;2
1113;6773728.27098;602412.73142;98.80623;1113;100;95;29;44;54;2;100;66.36473;84.02332;100.280435;87;2
1114;6773721.1984;602409.0041;96.23317;1114;65;70;31;44;62;2;100;62.784186;84.02332;88.743128;90;2
1115;6773724.44399;602388.89957;94.80616;1115;40;90;30;63;88;3;100;64.514782;61.960093;65.734066;92;2
1116;6773710.82442;602373.02651;95.97651;1116;42;100;20;40;57;3;100;91.339022;91.339022;95.574428;96;2
1117;6773692.75491;602362.16564;96.54948;1117;20;90;28;48;61;3;7;68.346817;77.926902;90.019797;85;2
1118;6773679.19954;602350.78072;95.20281;1118;16;50;24;31;37;3;5;77.926902;114.702069;141.362603;33;1
1119;6773664.86854;602335.79676;98.81263;1119;20;7;2;2;2;4;7;815.593485;1620.320666;2425.047847;4;1
1120;6773726.04372;602464.72134;98.28682;1120;90;80;33;59;62;1;100;59.637648;65.424079;88.743128;95;2
1121;6773720.57287;602463.8622;94.43854;1121;51;70;23;42;71;2;100;80.84258;87.506988;78.871418;88;2
1122;6773715.45152;602457.15629;95.17617;1122;15;50;28;50;53;2;50;68.346817;75.244478;101.967494;71;2
1123;6773716.54336;602456.35969;100.78692;1123;12;40;34;40;40;2;40;58.203197;91.339022;131.575381;78;2
1124;6773709.75886;602453.55579;97.27249;1124;30;45;35;43;48;2;50;56.850714;85.724646;111.457201;76;2
1125;6773703.60429;602451.92362;101.31643;1125;65;90;22;34;45;2;100;84.02332;105.54009;118.163261;89;2
1126;6773705.12629;602444.65809;96.52767;1126;60;100;30;63;91;2;90;64.514782;61.960093;63.925239;95;2
1127;6773705.48904;602439.40102;97.5482;1127;100;100;33;53;83;2;100;59.637648;71.600431;69.039353;93;2
1128;6773696.9639;602421.42018;94.60345;1128;60;100;40;69;92;2;100;51.102663;57.517155;63.348511;87;2
1129;6773686.20467;602404.63629;93.77796;1129;20;100;29;53;82;2;100;66.36473;71.600431;69.74878;86;2
1130;6773674.15266;602384.93907;95.01162;1130;30;100;24;33;65;3;100;77.926902;108.408992;85.148813;84;2
1131;6773660.52317;602371.16418;94.01872;1131;18;60;24;29;32;4;20;77.926902;121.863156;161.75265;28;1
1132;6773725.4122;602468.36215;98.20694;1132;90;100;33;44;58;1;100;59.637648;84.02332;94.113943;93;2
1133;6773729.97281;602470.43625;97.66701;1133;60;100;23;80;84;2;100;80.84258;51.102663;68.346817;95;2
1134;6773734.17107;602470.95106;95.48003;1134;45;60;10;35;47;2;100;171.81174;102.835124;113.597433;89;2
1135;6773738.72146;602472.93222;96.35363;1135;65;70;15;38;54;2;100;118.163261;95.574428;100.280435;88;2
1136;6773741.36389;602475.929;97.35346;1136;28;90;29;68;80;2;100;66.36473;58.203197;71.220842;91;2
1137;6773744.51022;602478.88177;99.19271;1137;17;50;63;73;74;3;30;36.413198;54.960944;76.114454;50;1
1138;6773751.77131;602481.51809;101.2331;1138;15;34;41;42;11;4;40;50.121288;87.506988;449.808402;30;1
1139;6773755.21719;602486.81172;95.68556;1139;16;23;24;24;7;4;20;77.926902;144.987501;700.632459;37;1
1006a;6779198.05649;475287.03911;224.99862;1006a;33.8;22;7;11;13;3;0;963.153421825;1213.97747824;1529.11539528;50;1
1007a;6779201.86197;475281.58925;225.13718;1007a;13.6;9;4;9;13;3;0;1652.91957698;1474.09131453;1529.11539528;17;1
1008a;6779202.84606;475272.04497;233.26332;1008a;13.7;11.5;5;8;10;3;0;1331.02870457;1652.91957698;1974.81044938;6;1
1001a;6779058.00105;475277.04853;229.79398;1001a;94;50.5;21;28;35;3;0;350.027950581;503.309318392;595.278139078;80;2
1002a;6779050.34382;475280.92758;220.30829;1002a;53;38.5;14;20;23;3;0;503.309318392;687.246959765;883.180534272;66;2
1003a;6779046.21249;475278.28438;226.79517;1003a;49.8;37.5;14;22;25;3;0;503.309318392;628.721346601;816.003308726;66;2
1004a;6779046.38725;475274.25029;220.82644;1004a;48.4;34;13;22;26;3;0;538.681941733;628.721346601;786.29030512;74;2
1005a;6779044.75862;475274.53186;223.28969;1005a;25.8;33;12;26;29;3;0;579.950002297;538.681941733;709.446330276;77;2
1006a;6779041.90092;475268.48308;222.9726;1006a;33.6;33.5;8;12;15;3;0;848.192395967;1116.43478964;1331.02870457;37;2
1007a;6779042.96791;475264.35815;218.47048;1007a;29.1;30.5;8;13;16;3;0;848.192395967;1033.89866851;1250.55598647;74;2
